GivenName	Surname	Birthday	tabminhash	uid
Judith	Avnas	07-01-1983	1110110111101001011101000001010011110010010011100001010011001111111101001000000100100110101001001111101100100000111110010111100110110010110011001100010110100000010001100101011111000000111000011011100000101111000100101001000001101111100110010111100001110111110110101010000010111000000010100010011110110100000101001100111000110110000010001110010001010101101110010100110110000111100101111000111011011010110100100011001111001010001111111001101010100011101110101010010001010111100010111000011101000011111010001100010001011001100111111001110101001110100011010100011110011011010100111000001011011101001000111101110101000000100101011110000100001111100010100000011101110100001001000010011001000011100111011001111110010010011010011010111010000011000011010111000101111001001010110000010000010110101110111000011000011001001100100110100001010011010100110001101001000100010111001111010011110101101101100001101011000010011111110101111101011100111010110101111111001111110010110001100110101110001110110010010010111111010000111010011110011010	94291
 Tiffiny 	Perez	25 Mar 1973	0011000111001110111110001011101010101101101001101011011110101111011010000111100101101111010011100010111001101100111011110110101101100000000110101011110111011010010001101010110111001000100001010010101111010001001001000110111101000011011011100011001000100010001000000111010001111100001110100010101110011101111100110010000110011111000001010001011010100100011100110110100110101101111001010111010000110100100100100000001100111011111100001100111001000001011011100011100100000111000010010100000001101000111110000011000010011100111011111101001110010110010000101111101101101001101001001110110010011000010101001111000001100001001100110111011000100110000000000000110111010001101100011111011001010000010011101100010000100000000111010100010100011011010011100110011001011001010110100011100110100111010101001000111011000000010100001101111000110111110110000110001101000011001111001011111001100001100101111001010100011001001010001101010100000001111110101101111001001011101111001100100011001110001100111001011001110110110101011100101101000100	81346
 Rodolfo  	McCullough	24 Aug 1987	1110110011100110011101101001110110100001010111110001001001100010101110011110001010100110101000101100101001100100000000111111110100000001101101000001010000011101110001100101110101111111101101010110010010101101111010000001111100001101010001100001011001110100101100011101000001101010101000110001111101011010011111001100100010101111110101010001010100111010111100010001100000110110111110111101000101001100010100101000111000000101100001101101111011100011111110010011010000001101001011110001000111011111110000000001100100101011110011011110001010110111011000110111000001001001100011000110010001010110101011000101110011000001111100000010001100001001110101101110010000101101001110000111101010110011010100001011111010000100100011001101101100001000001000000110100000110001010011110100110100100001011000100001100000001000100100101100001001100000101010001100111011101001000000100010001100101111110100101001010011011001101101011101001101100000000001101111011101110000110010000001011111000100111100011001000111011011011100100111111110110111	6294
Paul	Hardman	06 Jul 1971	1010011010000100111010110010110100101010000101110001000011100011001011001111101001010111100000000111011101010101110111010010001010111010111110000100001111001011011010110101011101011011101111011001100000111111100010101100011001000000000010011010000101110001010000100100001001100000110100110000000100001010000100111100001111000111010000000111010110000111110000000100100011011101111111001001101010001000101101101001110010110111011110011110011011000001101000110010011100010010000001100110111110011001011011101110111010001000001001110000110000111100000100111110001100011011111001111100110101101010011101001110001010010010001100010111000101101111100101000000111010110001001100010011111001100010100111110000001110000111001110011011011110010011110000000110111000001100000011010010000100110011110100010100000101111000000001000010100010110111011011100000100110010010111010000110100000110010011010100001000111100011111110010101011101101100011000101001111010110101001101100000110011100010001101010010000010101001110100110110111111000101	20361
Mary	Madison	01/25/1959	1011010101001001110110010011010101110110010010100001010011011011110100101011100100010100101111100010011100010001111000111001010101101011010110001010100111001010001011101111001101101000111011011001110110101111101001011011000001001011000101100111110010110010001101000100101101010010100000101010111110101000001100010001010100001111000100000011011000111101011000001001101110001001000011000111101011001001101100110001100111111000110101000111111010000010000010000100101010110000110100100111001110011110011011100011010101001010011011110001110100000101000101010101011100010000110101011010111100000110100101110111010101100001100100011010000100111010010010000101011101010000100111000101101101111011100110110000111000100110111011011111011110001100111010100100101000111011100010100000001001000100111100100010110011111010000010010100000101101000100001110101010001011111110100010000110001010001011100101011010101011000011101011101111100010000110100111100111001111011110010000000010100001110001101010011001101011001111101111000001100110000	5501
Mary	Horton	20 Aug 1987	0011111000100000110110101000010101110010010010000000010011101011101110000110101000110111111100001111101101010100001011011000110100011001100100000011010001011001100001100110100100111110001111011001110010011111100001100000011001101111000010000010110011010000111000111101111101001000100100101010001100110001111101000001010100110101100100010111000110101110011000000101100100011001010011000011100111001000111101101001001110100111101111001101010001100011011110001011101110000101000001111111000100011111111011100011010100111011010011111010110100000100000000010100111101100010101101111110010100000111101001000110010101010001110100000100000100011000111010000011101000010101101010000011101101000001101101101000111000111010110011011010010110001100011010100011111000001001101111010010101100000000111110101110011011101010101010001110100001010010011110100000111111011101100000000000111110010010011101111011010011011000111100011111001100101010010110111111110001101010110110001001100110000111101101010001001011011101110000101000110101010100	79418
William	Tilley	03/04/1978	0110000101001011111101010001001001100011011011110100011101010001001110110101100100100111101100010110011000000000111101001010100111110000101111001011010111011110110001011100010010001101101101011110100101101000001111010000001111110000101001000101110101100110011100010000100110011100011111110011101100010001101100110001010110110101110011000110011110001110011110110101100000100011100101011000000011010110000100010000010100100011000001011000010111100010101011100011110110110010010011111101011011101011110000111111110001111000110011111000001100010110000100111101001101100000001010101010010111001000001111010001111011011001101111011000110011111010000101010010111000100110101001001011011101100011100011011101111100010011000110010000100100001110110111000110000011111100010111010001000010100100011100011111101000111011110001010101011000010111110001110001001000000010000001000010100110000111001101100000000011001001010001001111111001000000101010101101110100000000011111000100111101101110111100111010001101011000100100100110100101110101	54473
Raymond	Whyte  	05/09/1978	1011011100010011011110010111001001110110011100010100001111111111111011110101100100100101101001000011001101101010110100111100101101100111110010101010110001011100110111111111000101011100011100110101010100001010101110000010100001100110100110101101011100001111111001110001110101110010110111010000101111011010111101010011100110100111010111011111000110001011001100101011110100001111110101101100010101110001111101111001011110110101010010011011011101000011100011000010100100001011011011101111011111010101010110111111100100001000110001110001000100101010010010110100100011111100101111101001010001101000101110110111011001111100111111100011101000011011110001101000101110110000101110011101101111110011001011111000011111110110001010111110100110101111110110001111110010001000000111010111100100100000110010111010111110011000100000101101000011111011011001000111101000101110100001011001100100101011011101100001000111000011101100111100100000001001011100110101110101100001111010000011001111000101001101111000001001100010111000110000011100010001	9677
 Wesley  Jr	Vanzant	03/19/1961	1111110000110011110111110001111110100000111001111000010101011100011001000000101101010011000010000111111001100110100111011110100111010101101110100010010111110000010001101011101101001110101001010001000101110111000000101000001111000100000010000011100110100111010110001000010010111000010111010000001110000100011100100001010000100001010110000110010011000110101110011011100010100111101111110001100100011111100100101000001110111011001100111001111001000011100000111010110001010100111010110000011011001011111000001000001101111000001011111010110101111010010001111100101100000010011001101011010010010101000010100100111001000100001110010100000010000001100101011001011001010100000010000011111001000001000000000111111100010011000011010010111110011011001010000000111011011100000011111001000110000101101000010011010110101000010100111101100100100100110000000110111110001010000001011000111001101100111110111011101001111001111101010111101101100000100010101001011011101010110111011000100011011010011100011010000111101011010101100011000110000110	96250
Bradley	Brown	10/05/1999	1011100100010001101000010001000010110000011010011001001111100001011001110111101100110011011110001001001000101110000010010011100101000111010100101010100010011011110010111001101110111000111110011101110111101111100101100110001101011010100101000101100001100011111111000101100110011101100010000001110101011011001110000011010000010101000100001101011110000000001001101011100010101111101100110000100111101001101100100001001011011000000000100010111010000000010111100011000110101000110000110011111010110110111100001111101000001001110001110000000101000011011000010110001100011001111111101000010000010000001010000111110111011010110111111001100011100011010011001100000111110010000101010100100101011111111110100001010000101110001011001010010000000101010101011000101000110110001001010000001100100111011100010000110011110010010000101100100001111110111010110100010100001000001010110111010100010100111001101000000111100101001011101011011000011111111100111111111001100010110110101000100101101001011000010000001111001110110110010000101101111101	81120
Teri	Campbell	06/11/1941	0010011000011100010101111011001001111000010001010000001111010001101011110100100000111011110110100110001100010010111011110010101010100100110000000101000010011110011011010110100100110110000111111100100111010000101000000000011000001110111101100111010100111000110110010001010110100100110100110010111010011100000100111011101110100011000010011001001011011110001100101001010000111100111100100111111101111000000100000000001101100111011100001000010100000001010010100000010100011010100011110011010011110001110010111010100111101000010001111101011101010010010010110100000100000100101010000010001000100011001111001010111001101000101011010010111100110110000010101000000100110011101110001011111011011011101000001001001110000110010011011011110011111111010110001011110100000000011110011001011100110001111000110011010001101001110000011101101011011111101100110011100000001101000011001011011100010000111111110001010101100010001011110101011000011111110111111000111101000101100110100010101010000110111000010000000101101001001010000111100110000110	53862
Darlene	Frazier	3/24/1965	1110011011000111111011000101000111111101011001101000000100110001001110100000100110010000110011100100111101100000001011011110111101100001111011100110010101011001110001000101110100111111111011110111100011101001001011001100111001000111111001100011100001101011011100010010100000011100110110001010010110011001001010001000010000110011010100000001010001110001101110111101100000101111101000001000100111011100110101101000010011100101101010100000001000000010010011101011110111011110110010110100001010001100110010000011100010001010100011100001110110010010100101111100101100001110110001011101101100011101101010100001010011100101000111010001010110101110000100010001000011011010100100000101111011011010100001000011111010001101000111011001000110001111010011010110101011100000011000010010101100100001110111010011111100010000001001111101110000011010010000110110110001100000101100010000111001001000110110101101010000110000011011010011100100101110111111100000110000101111111100011000111110001111011101010001100111101111101110000010110110001100	83632
EAMS	  Pace	3/16/1961	1111001010110000100001010101110000101100101000110101000010010001011001100110000001100011000010010110110000111001010111011110010010110011011110111000100100101000111011011110001100001010100100111100100101011000100011001011011101011000100011100101010101101000110000001100111100110000110100010010001110000100110101011000001000000111110011000111011011000110100000110100110000110001101101001010111011011110010110001001010100001011110011110010011111000010100110111011100111110001100010001100111011011001110000011001111010010001001110100100110111110011100110111100100010101011001011111001110010001000010101000100110000101000000100011011111100110101100001011100011001110010001010010001011011000011111000000101011010001111101011000001110010110111001110001110111101100100001110100111011100110101000010010100001000110011001110010101101001010101111000111111111110001011000011001000010001110100011111100000000001101101001111101011001101111110100100101001011101101010000001110000100111111110101000011011011101101100000001100011100100000010	47840
HOWARD	Williams	1989-1-3	1111010101011010111111100000011100101111011011110101001011110110001111010101101001110100101001010101111110110011110111011110101111010000101111110111000101011000111001010010001011111011001001011101000100001101100010111001101000101111001000110111110101110100000100011100110110010011100011110001101010011001011110111001001010100111110011010101010011000110000100100001100000101001100100001010000011010100011101000001110100001010011001011010000001100011100111001110111111100110100011111010110000110010110010011110100010111001110001111010010000011110010000011101001000110011001001110110110101001000101011011111111001010010010100010100110110111010100101000010111010010000100010000111111101000000101011101000111000011001011111110010110001001100110001100110001001101100001010110111001000101100111111011001001011111000100001001100011000000011000001110000010000110011110000100010000110011111001101110000010111000011010111010011011000100100111011100111010001110000101010100100110011101110111001010010101011011000000010110100100100110100	6272
Ronald	Chisolm	08/18/1973	1011110101010111010000010101111100011011110011010100001010111100001011011010101101010111101101000001001101100111100111011010100101101001110101000001110000011000110011101000100101001110110111010101010001101111100110110000110011011000100101110001101100001011010101011101000001011000010001110001011111001010000101110101100001011001000001001101011000011110111101000001001110001111111001010011011001010001110100001011001110010011001010000101000111000001011010101101010110110000100101110001010111111010000101100010101011101101011010111000001110110111011010101101100001100011001101101000011101011001110001001101010110010111011100110111011011100101110001000010100010100101000100000111001001100001010111000100111010111100110010110010000110011110000000100111111100001000000111100011101001010111011000001011000001001010001010101110100011100100100001010111011100101110111101001100111010100011111100101001001100101111111110111111011100001101011100101101011011111110111010111110111111101111111001111011001001001011110100100001110101010001	32977
Stephen-Smith	Chen	1-23-1973	0010001111000001010100010100110111111110010011010010000101011011001100001001101101110110111100110101001100110101101010011001110100000011110101001100110110001000011011110111000101000110101110110111110011111100110001010011011110101111000111100001111010111011001100001100011010011000000011110010001010001101110100110010100000011010010000000001011001000110010100101000101010111101110001101101110010100111111110001100010100100010111110001010111000100001011110100101001111000001100101100111110101011010010110101010001111101111100101110100001000110110010110111100001100100011001011010111100001111000000011111111111001000010011001101011000011100001010010011111110011100000001101000100100000111011010111010101010110101010110001111101010000000111010011110010000100001111000111110010001000010101010010011011111110111010001010101001100111101011110001010001110000001000100011101000101010011011011110101000000011111001001011101111111000001100100111111001011001101001011010010110010100000111001101110010101101101111111111010101101111001011	32694
Joel	 Lewis 	12/16/1971	0110010101001010011100100010110010101011111001010010001111101011100111001111100101001111001100000010001011000100110111010000110100001111110011100101000110001111101000001100011010011011011000111000100100011000111001011011001011011100010001000011000011011000101110001000111110010110111100011000010100010101000100101001101111010101010001000011011001111110001101110001010101101010101110101001000010011010111111001011010101111010000000011010001001000001101110111111010101110010000101110101100110111010010100101110110000111011111111100101110000110100000100111110001110011100101011001100000101001001001111001101110001101010111011000110110101100100000101111010101000100001000101010011001001110111100010010010011000010011001010001010110110111010000110100011101111100000011111100000101100100111111110011100011000011010010001010111001011110111010101110010010010100111101001010110100000010111010011101001010100000011110111001111111100101001011111101101110001011100111000010000110111011110010100011000001101011010010000100110111101110001	47589
Lora Jr	Wilkerson	1965-02-22	1010011000000110011010100100011100110010010010011000001101011001111110010011100000100010011110010100111100100101111110010111101101100001010110100000011011011101110011001110110001000011101001010000100010101010101011000001011001000001111001101001111000000000001010111101110101011100011000010000110110111001011000001000000011001111010001010111010011101110011100011000100110001100011100111111001001110010111100101011010010101010101010011000010011100011110011001001001010111111110011101100001101001001011000100111110000011010011110000000010111000100000101110111000001111111111011010110111111000101100011000001010011010111000111010001000000100110010010001010000001000111100110000110101100010010110111101110101000110000011011001100001001001110110110110111001111100000111100100110101101100010101000000011111000101000101010101111110001000011110101111010100011111101101000110000100001000011111100100001000000000010110111000001110001011000011001100100111001001100111011111001010110001111011101011000011001010111110010101000111100011100	73592
  Andre  	Williams	1992-10-07	1011010101000010101111110011011000101010111010010010011001011101001111011111000100100010011010010100101110000001010011011111110110000010100111101101000100011100011011001000000000111001000011011001000101101100011100110000001100001110101011000001100101111100111110011101011011011100110011010000011000010111111100011001010011010111100011000111011010100110001110100001101010100001111101000000011011010010011111100011100000000111111101011001010000100010100010000011011010101010000011111011110010111110010010001101111110111001101001101000010101010100010110101101011101010101111001100010100100000000001011001101111000111110010111011100011110111010101101100111000011010000100011001011011101100111000011001101101101010000010110000110000100011100110111000100100001110101011001110000101000110100011100011110110001111010010001010110001010001011100001110000000010000101111011000110100110111110001111110001000011000111010011001101111101000100111100110111110001111101100011001000110111101110101100010010001100010001100010010110110111100100	45627
Michael	  eoolittlD 	1947-10-13	1111010100011001011100010101110100010000010000001010011101101001101100101111101110010010111100000001111111101100011111111110100110000110111010100101000110111000100010000110100100011010101010010110000001110101100100100100011001111001001010010011000000001110101100011001111000110000111000000001001100000110111111110110011001110111000101111001001010101010000001001000101010101010101000010011001001110101101111001010001100100110100000110101100010100000110100101011001011010000110001110010001111010110011010100100001111001111001001011010001011000101000100110100111000010111111011000100100001100101110110001011010001111000010010011000110100110010100110011010110001000110000101011011110101000011000010001011011111100110110010011010100110000011111100101011100000001111001100010000101101000001110000011100110010101010100000100001100111100001101111101101101110011100010000000011000010000101011101101001110111111110111001110101111101100110111011100101111001100000010010010000111100011010011010011000000001101011011111100011001111001110	21920
Lakesha	Bullock	29/11/1954	1010100110001011101111100110100100010000111111100000001001110000010110100101001000001010001001011101110000000100110011011110100100100101010010001111010011000011011010100100100101001100001101010000100110101101101100011000000101000001101100110011101000110001101000011000111001111100001101011011100110010100011100011110000011010011110000000101010100100110111110010101001011100100101111111011000001001010011101001000001001001010110000010110001011100001000111000000011100110110000000100100000101010111010100000001000100101010100010110011100111110001000001001100010000000011111011111010001011010110110111010110100001101111101101001110110101010001000101000001101001100011001011001101101101101011100111101110100010111110000011010010001010100011110011001001001100110001010000100001101101000100111010011101101001111011100001001111110111110011000111110110100011111000101011011000111001010110001100100011100111001111001101011001010101011100100001111001011101001100111011000000110110100101010110110001110010111111011100110011011101001010	54463
	Brown	01/11/1988	1011001100001011100110010000000000101011011001110001011011111010011011001111101100100011100001101111010000100100010010110011011110111001100101101111010111001001011000111001001101101000001010110000100110110101111101011110000101001011000000100101100000110011000000000100000010000100101111010010111100011100111111001011110000000111000010001111011100111110001000110101011011101101001101111010010111001010111100000010001100011100000101111110011111000011001111001111011011101000100001111001011101011111111010011011101001101011100001110100000000011101011000000111010110110001101000111110011011001100101010010101110111011000010100101110010101100001110111011011010001101001001100010101100111011011101110101001111010101100101111110000101001000101011001010100101101111010000011110001011001010110111100011111010001011011000001111010010011111101011011111011010000001000001011101010001011010100100000101000010011100111001111001001111000000001111100101001011111100001111001101000010100100110000100010000011001111101100000110101111111101010	18148
Elizabeth	SMITH	06/05/1939	1010001101001001101100010011110010011110100001011000010100100011111001110110100101110110101100000010001010101011110111111110100000001100100010000100000010101010110000110101010100000010011100110001100101111100111100101010010111110111101100100110100000000111111111101000111000000101100110100000010101110011010100110010001101101101000000101010011110001101001101001101100110000001101000100011010000000101011110001000000101110011100101111100001100100001000000111010110010000111010011100001011011000001010001001010010001001010101011100001110110110111000011101100000000011101001011001110011001100100101000000011011101010100110010000101000101001011110111111100011001100000101100010010010010110011100101011000001110110110011010010111110110011110000110010011010001011100001111010011001111110101110010111110101110101000010100011101010111010011111111100111100010010100010000000011100110100011111111100011010110001100001011101011101001101000011101110001111000000001000000010101110110011101011110111000000000101101000100000101111110000110	447
Alna	Barnes	14 Jan 1950	1011111001001010110110000111011000101100111001110001001110101000010111101100101000010011001101100111011010101100110000011010110110101011001011100000110101001110011011111101100101110010011011110101100011110001101000110010001101101110000101101011100001010011100101000100010011011000101101010010101000110111111110101010011110000011000011000111001001110110001101111000100000111100101001000011110011000000101100101000101110101010011111011110001101010000000111000000011100100100100010110011110100110110011010111001001010011010101011100101010001001000000101011111001110011010011101110010111100010100000100000101011101001000100100011100011101000000100011000001000010110011000110011001111011110011110100111101011010111110100011001111111000000010010010100101111001101010001011110000001111100110111100010101001001011010001000001011100011110100100001111111111011000001101010001000100001110110110111100010000101001001001010001101111001011000110110111001110010101101110101010000100000001110010100010001010111001110100000111100111111000000	93164
Christopher	Carig	1990-1-3	0110010101001010011100110111110111110101110100100011001100000000011100010000101110110110111100000001001100111111001100010000101101100110101000000101010010011000011010100101101100010111010101010101000111110101111100010011010110000111100111100111101000100011010010011100011110000100001000010001000000001001011101100000000100110100010000000001000000011110111100001100000010101101100101000110100100110101110110101110100110100010011001001000010001100011010111100110101101101110111101010001110001111011110000101100001111101001101101111000111110011010010100110100011100101011111011001001001111010001011001001111110111000001110011110111110101100111010000001010101110111110101110001011100101000011110011000100010100111011010011100010000010010100010010111110000100001100001100111011011101010000001000011111111011111001001000011001110100001011110100010000100000110000001011111010110110010010111110101001010111100100001000101000000100001101111111110010101101001011110110011110110100001100110000110011111011101001101001010100101000010000	97611
Eearl	Douglass	23/09/1954	1011110010001000110110010000001101100000110101100001000011011010100111100100100010010011100010111101101110111100111100011011000110100001111111100010010101011111111010101111010110011000111111110110000011001101110100010010111111010010001110101011010000110101100001111000111110110110101100001011001000011010100101011010011001110101010100100101000000111111111010000101100010101100001100010011011111001101100100100000011000101100010100101011000011100010001000011010110111100000111111101101110111010101010000110010110100011010000001101110000011000100100011000110011010010101010001111011110100001110000011011101000100111001110100101110011110000110010101001100110111000011001101011001101011100001010001011100000100100100110010110111100110101010111001101100001000001001001010100001100100000000101010101001101011000010011110101000010110010110100011100110111110011010110011000100110100001101110110101010000011101101000010010101100000111100101100111001110010010100110001000010011000101000101000011000000011101111111000010100110111101001	17237
Lisa	Fernandez	1976-5-5	1011001101001010100010000011101000101011100001110000000110011011111000100110101101100111101111100010001001101011111110110110001110110100000101101101110001010010010011101100110100101111110101111000000101001000001101000110011100000000100110100111110101100111111011001000000000001100101111010000110110011010010001110001010110000101011111001010010010001111001101011100010010100110011111001101010000010110101111100001110100110111001100000100001110100011011111000000011100110011000100111101011011011001011101110111011001011100110010100000100100011110010000111101000011000100101001101010111010001011000000110101010011101111011100110111011001101111110101001000110000110101101000011111001111000011010011110101100001000100100011101100110010011010100100000111101111001000000010000010100100100111111010011100100100011001000010111101010110111101111001100111101010010010101001011010100010101110001101110001000101001100000010101101101100000000101110111011110011001101111000001010110110101100111000011010111011101010110000101001110100110000	84437
Mack	Jones	19 Feb 1978	0010001111000110110000100011101000110100001010011100000011111111011000100000100010100111101001010000010001000000011011011110010110000111010010100000011000011111101011001100001101010111001010011001110100001111110110010001001000001100110001110000100001000011100110100001110001111100000110010001110100010000010100010011000010100111110000000101011010010010111010001101010110001100010100011011000011100101101101111011111110111011110010010011111100000000001111101011000100100011111001010100000110110100011101101010011101011011010001101000000110000010000100010110001101000111001111011101111100011000101111000100010000010001101111001110001000101011010010110101101011100101000010001001111101100011011011011110101111010110101011011101010011111111011010001111111000101000000110100110001010100010110010011011011000101011101011011101100011111100111010111101111010010111000000000100111000100110111100111000000101011110101101001101011100111001110001101101110000100001101100111101001111001000011101110001101101110100111100100001101111010111	14225
